Position,Track Name,Artist,Streams,URL,Date
1,Too Good At Goodbyes - Edit,Sam Smith,248525,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y,2017-09-08
2,Look What You Made Me Do,Taylor Swift,198274,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR,2017-09-08
3,Young Dumb & Broke,Khalid,155825,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,2017-09-08
4,I Like Me Better,Lauv,143998,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9,2017-09-08
5,Super Far,LANY,140106,https://open.spotify.com/track/74ODGXs4byLTRdnKGM4s6E,2017-09-08
6,New Rules,Dua Lipa,129257,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,2017-09-08
7,Strip That Down,Liam Payne,127669,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ,2017-09-08
8,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,125628,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6,2017-09-08
9,Mama,Jonas Blue,124422,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w,2017-09-08
10,Despacito - Remix,Luis Fonsi,123702,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,2017-09-08
11,What Lovers Do (feat. SZA),Maroon 5,123649,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt,2017-09-08
12,Sorry Not Sorry,Demi Lovato,121856,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex,2017-09-08
13,...Ready For It?,Taylor Swift,119074,https://open.spotify.com/track/7zgqtptZvhf8GEmdsM2vp2,2017-09-08
14,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,118265,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,2017-09-08
15,"Two Less Lonely People in the World (Official Movie Theme Song Of ""Kita Kita"")",KZ Tandingan,115462,https://open.spotify.com/track/46ixegtxjERQMCutmp09Sa,2017-09-08
16,Havana,Camila Cabello,113562,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb,2017-09-08
17,Attention,Charlie Puth,104305,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv,2017-09-08
18,Friends (with BloodPop®),Justin Bieber,103252,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz,2017-09-08
19,Dahil Sa'Yo,Inigo Pascual,101193,https://open.spotify.com/track/4ai7c2BUjNpElhZdZDH7qF,2017-09-08
20,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,96848,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke,2017-09-08
21,Slow Hands,Niall Horan,96327,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh,2017-09-08
22,Shape of You,Ed Sheeran,94689,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-09-08
23,Say You Won't Let Go,James Arthur,94526,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-09-08
24,There for You,Martin Garrix,92622,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y,2017-09-08
25,Thunder,Imagine Dragons,91298,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW,2017-09-08
26,"Torete - From ""Love You to the Stars And Back""",Moira Dela Torre,90971,https://open.spotify.com/track/4aUf4lzQ1di5JajZ4a9FuI,2017-09-08
27,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,88994,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR,2017-09-08
28,2U (feat. Justin Bieber),David Guetta,87693,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M,2017-09-08
29,Your Song,Rita Ora,84818,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5,2017-09-08
30,Silence,Marshmello,79697,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU,2017-09-08
31,No Promises (feat. Demi Lovato),Cheat Codes,77065,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW,2017-09-08
32,Something Just Like This,The Chainsmokers,76240,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2017-09-08
33,That's What I Like,Bruno Mars,74911,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,2017-09-08
34,There's Nothing Holdin' Me Back,Shawn Mendes,74381,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu,2017-09-08
35,Down,Fifth Harmony,70269,https://open.spotify.com/track/20H2Hd5AkUcRjB4yL3UQtJ,2017-09-08
36,The Way I Are (Dance with Somebody) (feat. Lil Wayne) - Spotify Version,Bebe Rexha,70200,https://open.spotify.com/track/6Pw3Gvw4wNMZfTYZa6IQal,2017-09-08
37,Tadhana,Up Dharma Down,68802,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR,2017-09-08
38,Symphony (feat. Zara Larsson),Clean Bandit,66929,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8,2017-09-08
39,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,66633,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF,2017-09-08
40,1-800-273-8255,Logic,66457,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV,2017-09-08
41,The Cure,Lady Gaga,65145,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh,2017-09-08
42,Perfect,Ed Sheeran,63335,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2017-09-08
43,Without You (feat. Sandro Cavazza),Avicii,62584,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE,2017-09-08
44,Hiling,Mark Carpio,60613,https://open.spotify.com/track/6xQs6y6CpDqK9VKCktApEL,2017-09-08
45,Lonely Together (feat. Rita Ora),Avicii,59777,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab,2017-09-08
46,Pasensya Ka Na,Silent Sanctuary,58998,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7,2017-09-08
47,Most Girls,Hailee Steinfeld,56924,https://open.spotify.com/track/2mfUa8bLs2s5N4VaqJZ4lZ,2017-09-08
48,Why Can't It Be,Kaye Cal,56510,https://open.spotify.com/track/0zFYa7NIpKhmom8zrZx7Ga,2017-09-08
49,Fresh Eyes,Andy Grammer,56474,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3,2017-09-08
50,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,55193,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,2017-09-08
51,Versace on the Floor,Bruno Mars,52847,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,2017-09-08
52,Galway Girl,Ed Sheeran,52197,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve,2017-09-08
53,Dusk Till Dawn - Radio Edit,ZAYN,51469,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv,2017-09-08
54,ILYSB,LANY,47609,https://open.spotify.com/track/0dPBlz8N0veeceejtuvpPz,2017-09-08
55,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,47397,https://open.spotify.com/track/6M21eWbEw74XDdoQsNIinq,2017-09-08
56,Sila,SUD,46793,https://open.spotify.com/track/2IMODbij0lZ5CuAjZi0IDE,2017-09-08
57,It's Gotta Be You,Isaiah Firebrace,46551,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW,2017-09-08
58,Rich Love (with Seeb),OneRepublic,44854,https://open.spotify.com/track/7aF09WaavZAmAWuUeYxlYD,2017-09-08
59,Perfect Strangers,Jonas Blue,44408,https://open.spotify.com/track/5bZtRlMBU76vHuDOb1GM5u,2017-09-08
60,Photograph,Ed Sheeran,44323,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,2017-09-08
61,Your Love - Dolce Amore Teleserye Theme,Juris,43733,https://open.spotify.com/track/2PcbtMoqOlGSzOfyJlkB06,2017-09-08
62,Di Makatulog,SUD,43501,https://open.spotify.com/track/2ZiNCGDMapQzMtnPRVOKZI,2017-09-08
63,Migraine,Moonstar88,42942,https://open.spotify.com/track/7sW3f7PqDV7BQ7qqeVBJIA,2017-09-08
64,Reminding Me,Shawn Hook,42917,https://open.spotify.com/track/4gqMQftUs22F8pOGVn5Acr,2017-09-08
65,What About Us,P!nk,42245,https://open.spotify.com/track/31MkGwj0SWgZaTvEt5Hgxv,2017-09-08
66,Touch,Little Mix,40651,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z,2017-09-08
67,The Scientist,Coldplay,40247,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-09-08
68,Location,Khalid,39999,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif,2017-09-08
69,Hanggang Kailan,Michael Pangilinan,39921,https://open.spotify.com/track/01YEqVPCm0vqRLA9w43bic,2017-09-08
70,"Balisong (Theme Song of the Movie ""100 Tula Para Kay Stella"")",The Juans,39244,https://open.spotify.com/track/6VCrPY3rpckaEU8KXBITVJ,2017-09-08
71,Good Life (with G-Eazy & Kehlani),G-Eazy,39144,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E,2017-09-08
72,HUMBLE.,Kendrick Lamar,38994,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,2017-09-08
73,Glorious (feat. Skylar Grey),Macklemore,38950,https://open.spotify.com/track/3HVr6jTVwBHBa2flM0eURR,2017-09-08
74,Mi Gente,J Balvin,38028,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8,2017-09-08
